SibeliusInstrumentName,InstrumentTypeIdentifier,HumdrumInstrumentCode,Notes
Vihuela [notation],instrument.fretted.vihuela.5lines,,
Vihuela [tab],instrument.fretted.vihuela.tab,,
Zither,instrument.fretted.zither,*Izithr,
Keyboard,instrument.keyboard,,*Ipiano? *Isynth?
Accordion,instrument.keyboard.accordion,*Iaccor,
Bandoneon,instrument.keyboard.bandoneon,,
Celesta,instrument.keyboard.celesta,*Iclest,
Clavichord,instrument.keyboard.clavichord,*Iclavi,
Harmonium,instrument.keyboard.harmonium,,
Harpsichord,instrument.keyboard.harpsichord,,
Keyboards,instrument.keyboard.keyboards,*Icemba,*Ipiano? *Isynth?
Tape Sampler Keyboard [Brass],instrument.keyboard.tape sampler.brass,,
Tape Sampler Keyboard [Choir],instrument.keyboard.tape sampler.choir,,
Tape Sampler Keyboard [Flute],instrument.keyboard.tape sampler.flute,,
Tape Sampler Keyboard [Strings],instrument.keyboard.tape sampler,,
Melodeon,instrument.keyboard.melodeon,,
Electric Organ,instrument.keyboard.organ.electric,,*Ihammd?
Organ [manuals],instrument.keyboard.organ.manuals,*Iorgan,
Manual [solo organ manuals],instrument.keyboard.organ.manuals.solo,*Iorgan,
Ped. [Organ pedals],instrument.keyboard.organ.pedals,*Iorgan,
Pedal [solo organ pedals],instrument.keyboard.organ.pedals.solo,*Iorgan,
Piano,instrument.keyboard.piano,*Ipiano,
Electric Piano,instrument.keyboard.piano.electric,,
Electric Clavichord,instrument.keyboard.piano.electric.clavichord,,
Electric Stage Piano,instrument.keyboard.piano.electric.stage,,
Overdriven Electric Piano,instrument.keyboard.piano.electric.overdriven,,
Honky-tonk Piano,instrument.keyboard.piano.honky-tonk,,
Synthesizer,instrument.keyboard.synthesizer,*Isynth,
Unnamed (2 lines),instrument.other.2lines,,
Unnamed (3 lines),instrument.other.3lines,,
Unnamed (4 lines),instrument.other.4lines,,
Unnamed (bass staff),instrument.other.bassclef,,
